Id,ActivityDate,TotalSteps,Calories,VeryActiveMinutes,SedentaryMinutes,TotalMinutesAsleep,TotalTimeInBed,Weekday,activity_level
1503960366,2016-04-12,224,50,0,32,327,346,Tuesday,Sedentary
1927972279,2016-04-12,24,942,0,161,750,775,Tuesday,Sedentary
2026352035,2016-04-12,1019,600,0,223,503,546,Tuesday,Sedentary
3977333714,2016-04-12,759,182,0,187,274,469,Tuesday,Sedentary
4020332650,2016-04-12,8,446,0,321,501,541,Tuesday,Sedentary
4445114986,2016-04-12,278,745,0,253,429,457,Tuesday,Sedentary
4702921684,2016-04-12,0,0,0,1440,425,439,Tuesday,Sedentary
5553957443,2016-04-12,3436,633,7,61,441,464,Tuesday,Sedentary
6962181067,2016-04-12,5893,917,43,146,366,387,Tuesday,Lightly Active
7086361926,2016-04-12,430,625,0,75,514,525,Tuesday,Sedentary
8378563200,2016-04-12,3246,1882,65,243,338,356,Tuesday,Sedentary
8792009665,2016-04-12,20,728,0,598,458,493,Tuesday,Sedentary
1503960366,2016-04-12,13162,1985,25,728,327,346,Tuesday,Very Active
1503960366,2016-04-13,10735,1797,21,776,384,407,Wednesday,Very Active
1503960366,2016-04-15,9762,1745,29,726,412,442,Friday,Moderately Active
1503960366,2016-04-16,12669,1863,36,773,340,367,Saturday,Very Active
1503960366,2016-04-17,9705,1728,38,539,700,712,Sunday,Moderately Active
1503960366,2016-04-19,15506,2035,50,775,304,320,Tuesday,Very Active
1503960366,2016-04-20,10544,1786,28,818,360,377,Wednesday,Very Active
1503960366,2016-04-21,9819,1775,19,838,325,364,Thursday,Moderately Active
1503960366,2016-04-23,14371,1949,41,732,361,384,Saturday,Very Active
1503960366,2016-04-24,10039,1788,39,709,430,449,Sunday,Very Active
1503960366,2016-04-25,15355,2013,73,814,277,323,Monday,Very Active
1503960366,2016-04-26,13755,1970,31,833,245,274,Tuesday,Very Active
1503960366,2016-04-28,13154,1898,48,782,366,393,Thursday,Very Active
1503960366,2016-04-29,11181,1837,16,815,341,354,Friday,Very Active
1503960366,2016-04-30,14673,1947,52,712,404,425,Saturday,Very Active
1503960366,2016-05-01,10602,1820,33,730,369,396,Sunday,Very Active
1503960366,2016-05-02,14727,2004,41,798,277,309,Monday,Very Active
1503960366,2016-05-03,15103,1990,50,816,273,296,Tuesday,Very Active
1503960366,2016-05-05,14070,1959,45,857,247,264,Thursday,Very Active
1503960366,2016-05-06,12159,1896,24,754,334,367,Friday,Very Active
1503960366,2016-05-07,11992,1821,37,833,331,349,Saturday,Very Active
1503960366,2016-05-08,10060,1740,44,574,594,611,Sunday,Very Active
1503960366,2016-05-09,12022,1819,46,835,338,342,Monday,Very Active
1503960366,2016-05-10,12207,1859,46,746,383,403,Tuesday,Very Active
1503960366,2016-05-11,12770,1783,36,669,285,306,Wednesday,Very Active
1644430081,2016-04-29,3176,2498,0,1193,119,127,Friday,Sedentary
1644430081,2016-04-30,18213,3846,9,816,124,142,Saturday,Very Active
1644430081,2016-05-02,3758,2580,1,682,796,961,Monday,Sedentary
1644430081,2016-05-08,6724,2987,0,991,137,154,Sunday,Lightly Active
1844505072,2016-04-15,3844,1725,0,527,644,961,Friday,Sedentary
1844505072,2016-04-30,4014,1763,0,218,722,961,Saturday,Sedentary
1844505072,2016-05-01,2573,1541,0,585,590,961,Sunday,Sedentary
1927972279,2016-04-12,678,2220,0,734,750,775,Tuesday,Sedentary
1927972279,2016-04-13,356,2151,0,986,398,422,Wednesday,Sedentary
1927972279,2016-04-15,980,2221,0,941,475,499,Friday,Sedentary
1927972279,2016-04-26,3761,2638,0,1058,296,315,Tuesday,Sedentary
1927972279,2016-04-28,1675,2351,0,1167,166,178,Thursday,Sedentary
2026352035,2016-04-12,4414,1459,3,706,503,546,Tuesday,Sedentary
2026352035,2016-04-13,4993,1521,0,663,531,565,Wednesday,Sedentary
2026352035,2016-04-14,3335,1431,0,653,545,568,Thursday,Sedentary
2026352035,2016-04-15,3821,1444,0,687,523,573,Friday,Sedentary
2026352035,2016-04-16,2547,1373,0,728,524,567,Saturday,Sedentary
2026352035,2016-04-17,838,1214,0,1053,437,498,Sunday,Sedentary
2026352035,2016-04-19,2424,1356,0,785,498,540,Tuesday,Sedentary
2026352035,2016-04-20,7222,1667,0,623,461,510,Wednesday,Lightly Active
2026352035,2016-04-21,2467,1370,0,749,477,514,Thursday,Sedentary
2026352035,2016-04-22,2915,1399,0,712,520,545,Friday,Sedentary
2026352035,2016-04-23,12357,1916,0,458,522,554,Saturday,Very Active
2026352035,2016-04-24,3490,1401,0,704,555,591,Sunday,Sedentary
2026352035,2016-04-25,6017,1576,0,821,506,531,Monday,Lightly Active
2026352035,2016-04-27,6088,1593,0,586,508,545,Wednesday,Lightly Active
2026352035,2016-04-28,6375,1649,0,626,513,545,Thursday,Lightly Active
2026352035,2016-04-29,7604,1692,0,492,490,510,Friday,Moderately Active
2026352035,2016-04-30,4729,1506,0,594,573,607,Saturday,Sedentary
2026352035,2016-05-01,3609,1447,0,716,527,546,Sunday,Sedentary
2026352035,2016-05-02,7018,1690,0,716,511,543,Monday,Lightly Active
2026352035,2016-05-04,6564,1658,0,530,538,560,Wednesday,Lightly Active
2026352035,2016-05-05,12167,1926,0,479,468,485,Thursday,Very Active
2026352035,2016-05-06,8198,1736,0,511,524,548,Friday,Moderately Active
2026352035,2016-05-07,4193,1491,0,665,511,521,Saturday,Sedentary
2026352035,2016-05-08,5528,1555,0,610,541,568,Sunday,Lightly Active
2026352035,2016-05-09,10685,1869,0,543,531,556,Monday,Very Active
2026352035,2016-05-10,254,1141,0,1002,357,380,Tuesday,Sedentary
2026352035,2016-05-11,8580,1698,0,569,523,553,Wednesday,Moderately Active
2026352035,2016-05-12,8891,1364,0,330,456,485,Thursday,Moderately Active
2320127002,2016-04-23,5079,1804,0,1129,61,69,Saturday,Lightly Active
2347167796,2016-04-13,10352,2038,19,676,467,531,Wednesday,Very Active
2347167796,2016-04-14,10129,2010,1,705,445,489,Thursday,Very Active
2347167796,2016-04-15,10465,2133,1,720,452,504,Friday,Very Active
2347167796,2016-04-17,5472,1882,1,508,556,602,Sunday,Lightly Active
2347167796,2016-04-18,8247,1944,11,678,500,557,Monday,Moderately Active
2347167796,2016-04-19,6711,2346,0,648,465,514,Tuesday,Lightly Active
2347167796,2016-04-21,10080,2048,23,761,460,484,Thursday,Very Active
2347167796,2016-04-22,7804,1946,9,781,405,461,Friday,Moderately Active
2347167796,2016-04-23,16901,2629,32,591,374,386,Saturday,Very Active
2347167796,2016-04-24,9471,2187,0,584,442,459,Sunday,Moderately Active
2347167796,2016-04-25,9482,2095,15,653,433,471,Monday,Moderately Active
2347167796,2016-04-26,5980,1861,0,732,436,490,Tuesday,Lightly Active
2347167796,2016-04-27,11423,2194,26,623,448,499,Wednesday,Very Active
2347167796,2016-04-28,5439,1854,0,764,408,450,Thursday,Lightly Active
2347167796,2016-04-29,42,403,0,2,411,473,Friday,Sedentary
3977333714,2016-04-12,8856,1450,44,777,274,469,Tuesday,Moderately Active
3977333714,2016-04-13,10035,1495,31,754,295,456,Wednesday,Very Active
3977333714,2016-04-14,7641,1433,5,801,291,397,Thursday,Moderately Active
3977333714,2016-04-15,9010,1468,15,644,424,556,Friday,Moderately Active
3977333714,2016-04-16,13459,1625,31,663,283,510,Saturday,Very Active
3977333714,2016-04-17,10415,1529,11,600,381,566,Sunday,Very Active
3977333714,2016-04-18,11663,1584,4,605,412,522,Monday,Very Active
3977333714,2016-04-19,12414,1638,19,738,219,395,Tuesday,Very Active
3977333714,2016-04-20,11658,1554,2,845,152,305,Wednesday,Very Active
3977333714,2016-04-21,6093,1397,0,712,332,512,Thursday,Lightly Active
3977333714,2016-04-22,8911,1481,33,731,355,476,Friday,Moderately Active
3977333714,2016-04-23,12058,1638,0,724,235,372,Saturday,Very Active
3977333714,2016-04-24,14112,1655,30,660,310,526,Sunday,Very Active
3977333714,2016-04-25,11177,1570,50,781,262,467,Monday,Very Active
3977333714,2016-04-26,11388,1551,7,797,250,371,Tuesday,Very Active
3977333714,2016-04-27,7193,1377,0,714,349,540,Wednesday,Lightly Active
3977333714,2016-04-28,7114,1407,15,804,261,423,Thursday,Lightly Active
3977333714,2016-04-29,10645,1545,36,744,333,478,Friday,Very Active
3977333714,2016-04-30,13238,1650,43,687,237,382,Saturday,Very Active
3977333714,2016-05-01,10414,1501,41,691,383,626,Sunday,Very Active
3977333714,2016-05-02,16520,1760,24,713,230,384,Monday,Very Active
3977333714,2016-05-03,14335,1710,47,594,292,500,Tuesday,Very Active
3977333714,2016-05-04,13559,1628,14,852,213,336,Wednesday,Very Active
3977333714,2016-05-05,12312,1618,14,680,318,480,Thursday,Very Active
3977333714,2016-05-06,11677,1590,29,676,323,512,Friday,Very Active
3977333714,2016-05-07,11550,1574,0,703,237,443,Saturday,Very Active
3977333714,2016-05-08,13585,1633,9,688,259,456,Sunday,Very Active
3977333714,2016-05-10,13072,1630,1,676,312,452,Tuesday,Very Active
4020332650,2016-04-12,8539,3654,4,712,501,541,Tuesday,Moderately Active
4020332650,2016-04-16,1982,3051,65,1222,77,77,Saturday,Sedentary
4020332650,2016-05-03,4496,2828,0,950,322,332,Tuesday,Sedentary
4020332650,2016-05-04,10252,3879,13,531,478,536,Wednesday,Very Active
4020332650,2016-05-05,11728,3429,38,916,226,248,Thursday,Very Active
4020332650,2016-05-06,4369,2704,0,855,385,408,Friday,Sedentary
4020332650,2016-05-08,5862,3089,0,775,364,402,Sunday,Lightly Active
4020332650,2016-05-10,5546,2926,0,774,442,494,Tuesday,Lightly Active
4319703577,2016-04-14,10210,2302,1,589,535,557,Thursday,Very Active
4319703577,2016-04-15,5664,1985,0,752,465,491,Friday,Lightly Active
4319703577,2016-04-16,4744,1884,0,724,506,522,Saturday,Sedentary
4319703577,2016-04-18,2276,1632,1,824,515,551,Monday,Sedentary
4319703577,2016-04-19,8925,2200,0,604,461,498,Tuesday,Moderately Active
4319703577,2016-04-20,8954,2220,0,671,523,543,Wednesday,Moderately Active
4319703577,2016-04-21,3702,1792,0,1265,59,65,Thursday,Sedentary
4319703577,2016-04-22,4500,1886,1,709,533,550,Friday,Sedentary
4319703577,2016-04-23,4935,1945,0,546,692,722,Saturday,Sedentary
4319703577,2016-04-24,4081,1880,1,692,467,501,Sunday,Sedentary
4319703577,2016-04-25,9259,2314,0,544,488,506,Monday,Moderately Active
4319703577,2016-04-26,9899,2236,8,649,505,516,Tuesday,Moderately Active
4319703577,2016-04-27,10780,2324,6,680,286,307,Wednesday,Very Active
4319703577,2016-04-28,10817,2367,13,552,497,522,Thursday,Very Active
4319703577,2016-04-29,7990,2175,6,624,523,546,Friday,Moderately Active
4319703577,2016-04-30,8221,2092,6,695,490,516,Saturday,Moderately Active
4319703577,2016-05-01,1251,1593,0,836,484,500,Sunday,Sedentary
4319703577,2016-05-02,9261,2270,0,585,478,506,Monday,Moderately Active
4319703577,2016-05-03,9648,2235,8,669,474,512,Tuesday,Moderately Active
4319703577,2016-05-06,9524,2266,6,692,450,491,Friday,Moderately Active
4319703577,2016-05-07,7937,2158,3,586,507,530,Saturday,Moderately Active
4319703577,2016-05-08,3672,1792,0,603,602,638,Sunday,Sedentary
4319703577,2016-05-09,10378,2345,2,490,535,565,Monday,Very Active
4319703577,2016-05-10,9487,2260,3,555,487,517,Tuesday,Moderately Active
4319703577,2016-05-11,9129,2232,3,574,529,558,Wednesday,Moderately Active
4319703577,2016-05-12,17,257,0,0,302,321,Thursday,Sedentary
4388161847,2016-04-15,8758,3066,0,837,499,526,Friday,Moderately Active
4388161847,2016-04-16,6580,3073,6,609,426,448,Saturday,Lightly Active
4388161847,2016-04-17,4660,2572,0,721,619,641,Sunday,Sedentary
4388161847,2016-04-18,11009,3274,27,1017,99,104,Monday,Very Active
4388161847,2016-04-19,10181,3015,20,704,329,338,Tuesday,Very Active
4388161847,2016-04-20,10553,3083,19,696,421,451,Wednesday,Very Active
4388161847,2016-04-21,10055,3069,7,853,442,458,Thursday,Very Active
4388161847,2016-04-22,12139,3544,77,945,82,85,Friday,Very Active
4388161847,2016-04-23,13236,3306,58,749,478,501,Saturday,Very Active
4388161847,2016-04-24,10243,2885,14,584,552,595,Sunday,Very Active
4388161847,2016-04-26,9461,2929,14,673,319,346,Tuesday,Moderately Active
4388161847,2016-04-27,11193,3074,11,684,439,500,Wednesday,Very Active
4388161847,2016-04-28,10074,2969,19,878,428,458,Thursday,Very Active
4388161847,2016-04-30,12533,3283,14,537,409,430,Saturday,Very Active
4388161847,2016-05-01,10255,2926,12,579,547,597,Sunday,Very Active
4388161847,2016-05-02,10096,3147,33,935,368,376,Monday,Very Active
4388161847,2016-05-04,12375,3162,35,632,390,414,Wednesday,Very Active
4388161847,2016-05-05,9603,2899,12,896,471,495,Thursday,Moderately Active
4388161847,2016-05-07,22770,4022,120,508,472,496,Saturday,Very Active
4388161847,2016-05-08,17298,3934,107,576,529,541,Sunday,Very Active
4388161847,2016-05-09,10218,3013,6,1020,62,65,Monday,Very Active
4388161847,2016-05-10,10299,3061,13,648,354,375,Tuesday,Very Active
4388161847,2016-05-11,10201,2954,8,858,469,494,Wednesday,Very Active
4445114986,2016-04-12,3276,2113,0,787,429,457,Tuesday,Sedentary
4445114986,2016-04-13,2961,2095,0,840,370,406,Wednesday,Sedentary
4445114986,2016-04-14,3974,2194,0,717,441,492,Thursday,Sedentary
4445114986,2016-04-15,7198,2496,0,711,337,379,Friday,Lightly Active
4445114986,2016-04-16,3945,2180,0,716,462,499,Saturday,Sedentary
4445114986,2016-04-17,2268,1933,0,1219,98,107,Sunday,Sedentary
4445114986,2016-04-19,2064,1954,0,895,388,424,Tuesday,Sedentary
4445114986,2016-04-20,2072,1974,0,841,439,462,Wednesday,Sedentary
4445114986,2016-04-21,3809,2150,0,756,436,469,Thursday,Sedentary
4445114986,2016-04-22,6831,2432,0,706,388,417,Friday,Lightly Active
4445114986,2016-04-25,3385,2070,0,916,328,345,Monday,Sedentary
4445114986,2016-04-26,6326,2291,29,839,353,391,Tuesday,Lightly Active
4445114986,2016-04-27,7243,2361,32,839,332,374,Wednesday,Lightly Active
4445114986,2016-04-28,4493,2203,0,762,419,442,Thursday,Sedentary
4445114986,2016-04-29,4676,2196,0,1106,106,108,Friday,Sedentary
4445114986,2016-04-30,6222,2363,0,797,322,353,Saturday,Lightly Active
4445114986,2016-05-01,5232,2246,0,741,439,459,Sunday,Lightly Active
4445114986,2016-05-02,6910,2336,27,667,502,542,Monday,Lightly Active
4445114986,2016-05-03,7502,2421,30,725,417,450,Tuesday,Moderately Active
4445114986,2016-05-04,2923,2070,0,897,337,363,Wednesday,Sedentary
4445114986,2016-05-05,3800,2120,2,734,462,513,Thursday,Sedentary
4445114986,2016-05-06,4514,2211,0,809,374,402,Friday,Sedentary
4445114986,2016-05-07,5183,2123,26,866,401,436,Saturday,Lightly Active
4445114986,2016-05-08,7303,2423,0,733,361,391,Sunday,Lightly Active
4445114986,2016-05-09,5275,2281,0,641,457,533,Monday,Lightly Active
4445114986,2016-05-10,3915,2181,0,783,405,426,Tuesday,Sedentary
4445114986,2016-05-11,9105,2499,34,622,499,530,Wednesday,Moderately Active
4445114986,2016-05-12,768,1212,0,380,483,501,Thursday,Sedentary
4558609924,2016-04-21,13743,2486,6,844,126,137,Thursday,Very Active
4558609924,2016-04-26,9148,2223,12,1062,103,121,Tuesday,Moderately Active
4558609924,2016-04-29,7833,1918,15,1096,171,179,Friday,Moderately Active
4558609924,2016-05-01,3428,1692,0,1121,115,129,Sunday,Sedentary
4558609924,2016-05-08,6543,2666,66,1019,123,134,Sunday,Lightly Active
